title,description,videoId,thumbnails,channelName,channelId,channelUrl,verified,publishedText,publishedDate,viewsText,views,videoUrl,duration,durationText,isShort
DADDY YANKEE || BZRP Music Sessions #0/66,"DADDY YANKEE || BZRP Music Sessions #0/66

Lyrics by: https://www.instagram.com/daddyyankee 

Beat by:  https://www.instagram.com/bizarrap

PreMix by:  https://www.instagram.com/korewasaid...",qNw8ejrI0nM,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/qNw8ejrI0nM/3.jpg', 'width': 120, 'height': 90}]",Bizarrap and Daddy Yankee,N/A,https://www.youtube.com/u/undefined,False,20 hours ago,2025-11-06T00:11:53.467Z,"9,546,054 views",9546054,https://www.youtube.com/watch?v=qNw8ejrI0nM,160,2:40,False
Michael (2026) Official Teaser - Jaafar Jackson,"MICHAEL – in theaters April 24, 2026. Starring Jaafar Jackson, Nia Long, Laura Harrier, Juliano Krue Valdi, with Miles Teller, and Colman Domingo.

Subscribe to the LIONSGATE YouTube Channel...",723RZxnDWKE,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/723RZxnDWKE/3.jpg', 'width': 120, 'height': 90}]",Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,https://www.youtube.com/@LionsgateMovies,True,6 hours ago,2025-11-06T14:11:53.467Z,"649,902 views",649902,https://www.youtube.com/watch?v=723RZxnDWKE,73,1:13,False
MY HEART HURTS | Dispatch (Episode 5 + 6),"WELCOME, back to Dispatch! Today we cover Episode 5: Team Building and Episode 6: Moving Parts. This is getting heavy...
READ MY MANGA: https://monsterswemake.com/
Official CxK Merchandise:...",AjTVfzt4who,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/AjTVfzt4who/3.jpg', 'width': 120, 'height': 90}]",CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,https://www.youtube.com/@CoryxKenshin,True,15 hours ago,2025-11-06T05:11:53.467Z,"1,572,145 views",1572145,https://www.youtube.com/watch?v=AjTVfzt4who,5585,1:33:05,False
Romeo Santos - Imitadora (Letra),"Romeo Santos - Imitadora
Released 17/07/2017

#RomeoSantos 
#Imitadora 
#latin 
#bachata 

espero que te haya gustado ¡gracias por ver! 💙

canal secundario: https://www.youtube.com/@iamsweeet...",7BODJ6wGOVo,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/7BODJ6wGOVo/3.jpg', 'width': 120, 'height': 90}]",sweetblue.,UCZdj1MDpyXBPI6nUs_2MZhw,https://www.youtube.com/@sweetblue,True,1 day ago,2025-11-05T20:11:53.467Z,"1,910,513 views",1910513,https://www.youtube.com/watch?v=7BODJ6wGOVo,235,3:55,False
Pokémon Legends: Z-A – Mega Dimension | See the Latest Trailer!,"The Pokémon Legends: Z-A – Mega Dimension DLC is slated for release on Wednesday, December 10, 2025. 
                                                                                   ...",CMve2vXAQGQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/CMve2vXAQGQ/3.jpg', 'width': 120, 'height': 90}]",The Official Pokémon YouTube channel,UCFctpiB_Hnlk3ejWfHqSm6Q,https://www.youtube.com/@pokemon,True,6 hours ago,2025-11-06T14:11:53.467Z,"445,747 views",445747,https://www.youtube.com/watch?v=CMve2vXAQGQ,214,3:34,False
NO MORE SECRETS (Dispatch 5 & 6),"We're into episodes 5 & 6 of Dispatch and I can't believe it ended up like this
Drink my coffee: https://topofthemornincoffee.com/

Follow me on Instagram: https://www.instagram.com/jacksepticeye",8q6tDjxpajQ,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/8q6tDjxpajQ/3.jpg', 'width': 120, 'height': 90}]",jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,https://www.youtube.com/@jacksepticeye,True,1 day ago,2025-11-05T20:11:53.467Z,"1,490,423 views",1490423,https://www.youtube.com/watch?v=8q6tDjxpajQ,7886,2:11:26,False
Ken Carson - catastrophe (Official Music Video),"Stream ‘catastrophe' Here: 
https://KenCarson.lnk.to/catastrophe

Directed by: Gunner Stahl

Follow Ken Carson: 
Website: https://kencarson.xyz/
Instagram: https://www.instagram.com/kencarson/...",j2g-KI9mukI,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/j2g-KI9mukI/3.jpg', 'width': 120, 'height': 90}]",Ken Carson,UCtjO8cix9XxwOcAv6nww-TQ,https://www.youtube.com/channel/UCtjO8cix9XxwOcAv6nww-TQ,False,15 hours ago,2025-11-06T05:11:53.467Z,"384,172 views",384172,https://www.youtube.com/watch?v=j2g-KI9mukI,131,2:11,False
Five Nights at Freddy's 2 | Official Trailer 2,"A new set of rules. A new level of fear. Five Nights at Freddy’s 2 only in theaters December 5. Get tickets now.

---

In 2023, Blumhouse’s box-office horror phenomenon Five Nights at Freddy’...",NQypHE9_Fm4,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/NQypHE9_Fm4/3.jpg', 'width': 120, 'height': 90}]",Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,https://www.youtube.com/@UniversalPictures,True,1 day ago,2025-11-05T20:11:53.467Z,"3,914,376 views",3914376,https://www.youtube.com/watch?v=NQypHE9_Fm4,105,1:45,False
Brawl Stars x Stranger Things,"Venture into the Upside Showdown! 🙃

The Stranger Things season and event start TODAY 🔥

#StrangerThings #BrawlStars",tR872KZ_zAk,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/tR872KZ_zAk/3.jpg', 'width': 120, 'height': 90}]",Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,https://www.youtube.com/@BrawlStars,True,11 hours ago,2025-11-06T09:11:53.467Z,"1,882,666 views",1882666,https://www.youtube.com/watch?v=tR872KZ_zAk,49,0:49,False
Cristian Castro - Azul (Letra),"Cristian Castro - Azul
Get:

Letra:

[Verso 1]
Fue una mañana que yo te encontré
Cuando la brisa besaba tu dulce piel
Tus ojos tristes que al ver adoré
La noche que yo te amé, eh

Azul,...",FdC4lGHClGw,"[{'quality': 'maxres', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/maxres.jpg', 'width': 1280, 'height': 720}, {'quality': 'maxresdefault', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/maxresdefault.jpg', 'width': 1280, 'height': 720}, {'quality': 'sddefault', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/sddefault.jpg', 'width': 640, 'height': 480}, {'quality': 'high', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/hqdefault.jpg', 'width': 480, 'height': 360}, {'quality': 'medium', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/mqdefault.jpg', 'width': 320, 'height': 180}, {'quality': 'default', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/default.jpg', 'width': 120, 'height': 90}, {'quality': 'start', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/1.jpg', 'width': 120, 'height': 90}, {'quality': 'middle', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/2.jpg', 'width': 120, 'height': 90}, {'quality': 'end', 'url': 'https://i.ytimg.com/vi/FdC4lGHClGw/3.jpg', 'width': 120, 'height': 90}]",Glim Latin,UC1EsgtWmgLmQZpifgFG5oqQ,https://www.youtube.com/@GlimLatin,False,22 hours ago,2025-11-05T22:11:53.467Z,"929,127 views",929127,https://www.youtube.com/watch?v=FdC4lGHClGw,261,4:21,False
